Prueba,Criterio relacionado,Objetivo,Cómo replicarla,Resultado esperado
Formulario vacío,"WCAG 3.3.1, 3.3.2, 3.3.3","Validar identificación de errores, instrucciones y foco al primer error.","En contacto.html, dejar campos obligatorios vacíos y presionar “Enviar solicitud”.","El foco cae en el primer campo inválido. Se muestra mensaje de error específico y el campo tiene aria-invalid=""true""."
Email inválido,"WCAG 3.3.1, 3.3.3",Confirmar sugerencia de corrección para formato de correo.,"Escribir un correo inválido, por ejemplo isaigmail.com, y enviar.",Aparece mensaje tipo “Escribe un correo válido. Ejemplo: nombre@dominio.com.”
Teléfono inválido,WCAG 3.3.3,Confirmar sugerencia de corrección para teléfono opcional si se llena mal.,"Escribir texto inválido en teléfono, por ejemplo abc, y enviar o salir del campo.","Aparece sugerencia de teléfono válido, por ejemplo 722-000-0000."
Labels del formulario,"WCAG 3.3.2, 4.1.2",Confirmar que cada campo tiene nombre accesible e instrucciones.,"En DevTools o con lector de pantalla, recorrer Nombre, Cargo, Organización, Tipo, Email, Teléfono, Servicio y Mensaje.",Cada campo anuncia su label; los obligatorios indican requerimiento y ayuda asociada.
Mensaje de éxito accesible,WCAG 4.1.3,Confirmar que el estado de envío se anuncia sin perder contexto.,"Llenar formulario válido y enviar. Usar lector de pantalla o revisar que exista role=""status""/aria-live.","Se muestra “¡Solicitud enviada!” y el mensaje está en una región con role=""status"" y aria-live=""polite""."
Reflow 320px,WCAG 1.4.10,Confirmar que la página funciona en ancho mínimo sin scroll horizontal general.,En Chrome: F12 → Ctrl + Shift + M → Width 320px. Recorrer toda la página.,"No aparece scroll horizontal general. Textos, botones, cards, tabs y formulario se ajustan al ancho."
Verificación de scroll horizontal con consola,WCAG 1.4.10,Confirmar técnicamente que no hay overflow horizontal.,En DevTools Console ejecutar: document.documentElement.scrollWidth > document.documentElement.clientWidth.,Debe devolver false.
Zoom 400%,WCAG 1.4.10,Confirmar que el sitio es usable con aumento alto.,"En Chrome, subir zoom hasta 400% con Ctrl + +. Recorrer verticalmente la página.",No hay contenido cortado horizontalmente ni scroll horizontal general; se permite scroll vertical.
axe DevTools,"WCAG 2.1.1, 2.4.3, 3.3.1, 3.3.2, 4.1.2, 4.1.3",Detectar errores automáticos críticos de accesibilidad.,"Instalar extensión axe DevTools. Abrir DevTools → pestaña axe DevTools → Analyze/Scan. Ejecutar en index.html, servicios.html, contacto.html.","Sin errores críticos o serios relacionados con teclado, labels, roles, foco, formularios o ARIA."
Lighthouse Accessibility Mobile,WCAG AA general automatizado,Obtener score automático de accesibilidad.,Chrome DevTools → Lighthouse → marcar Accessibility → Device Mobile → Analyze page load.,"Score ideal 95–100. Sin fallas en botones, links, labels, ARIA, main, skip link o tabindex."
Lighthouse Accessibility Desktop,WCAG AA general automatizado,Confirmar que en escritorio también se conserva accesibilidad.,Chrome DevTools → Lighthouse → Accessibility → Desktop → Analyze page load.,Score ideal 95–100.
Lector de pantalla NVDA / VoiceOver,"WCAG 4.1.2, 4.1.3, 3.3.1",Confirmar experiencia real para tecnologías asistivas.,"Activar NVDA en Windows o VoiceOver en Mac. Recorrer FAQ, tabs y formulario.","Se anuncian botones, expandido/colapsado, tabs seleccionados, labels, errores y mensaje de éxito."
